stage,task,sweep,seed,best_test_acc,final_test_acc,best_test_acc_mc,delta_pp,n_points,final_iter
st01,mazes,headsh16,2.0,0.8801557333333333,0.8798995999999999,0.88777,7.735573333333335,100,100000
st01,mazes,headsh16,,0.9057390666666666,0.9056530666666666,0.9153,10.293906666666663,100,100000
st01,mazes,headsh2,1.0,0.8917452,0.8913504,0.90363,8.894520000000005,100,100000
st01,mazes,headsh2,2.0,0.8719404,0.8695693333333334,0.88364,6.914039999999999,100,100000
st01,mazes,headsh2,,0.8878970666666667,0.8876869333333334,0.89719,8.509706666666672,100,100000
st01,mazes,headsh8,1.0,0.8958765333333334,0.8958765333333334,0.90581,9.307653333333343,100,100000
st01,mazes,headsh8,2.0,0.8799702666666666,0.8592570666666667,0.89171,7.71702666666666,100,100000
st01,mazes,headsh8,,0.8987284,0.8985052,0.90735,9.592840000000002,100,100000
st01,mazes,memory_hidden_dimsmh1,1.0,0.9030596,0.9028186666666664,0.91128,10.025960000000001,100,100000
st01,mazes,memory_hidden_dimsmh1,2.0,0.9012481333333332,0.9009913333333333,0.90821,9.844813333333324,100,100000
st01,mazes,memory_hidden_dimsmh1,,0.9080844,0.9035021333333332,0.91646,10.528440000000005,100,100000
st01,mazes,memory_hidden_dimsmh2,1.0,0.89869,0.8985930666666666,0.90641,9.589000000000002,100,100000
st01,mazes,memory_hidden_dimsmh2,2.0,0.8975324,0.8972950666666666,0.90551,9.473240000000004,100,100000
st01,mazes,memory_hidden_dimsmh2,,0.8975357333333334,0.8972933333333333,0.90696,9.473573333333341,100,100000
st01,mazes,memory_hidden_dimsmh32,1.0,0.8828869333333333,0.7880782666666666,0.8919,8.008693333333339,100,100000
st01,mazes,memory_hidden_dimsmh32,2.0,0.8680230666666666,0.7832606666666666,0.87793,6.522306666666666,100,100000
st01,mazes,memory_hidden_dimsmh32,,0.9019977333333332,0.883394,0.91043,9.919773333333326,100,100000
st01,mazes,nst_first-last,1.0,0.9063829333333334,0.9063829333333334,0.91259,10.358293333333346,100,100000
st01,mazes,nst_first-last,2.0,0.9033724,0.9029054666666666,0.90899,10.05724,100,100000
st01,mazes,nst_first-last,,0.9038182666666668,0.9034156,0.91139,10.10182666666668,100,100000
st01,mazes,nst_random,1.0,0.8987197333333332,0.8987143999999999,0.90816,9.591973333333325,100,100000
st01,mazes,nst_random,2.0,0.8932889333333334,0.8929958666666667,0.90978,9.048893333333341,100,100000
st01,mazes,nst_random,,0.8599533333333332,0.8101957333333333,0.87662,5.715333333333328,100,100000
st01,mazes,nst_random-pairing,1.0,0.8677161333333333,0.8661472,0.90347,6.491613333333335,100,100000
st01,mazes,nst_random-pairing,2.0,0.8714906666666667,0.8697192,0.89882,6.869066666666679,100,100000
st01,mazes,nst_random-pairing,,0.8585536,0.8531573333333333,0.89834,5.575360000000007,100,100000
st01,mazes,synapse_depthsd1,1.0,0.8951822666666667,0.8949557333333333,0.90182,9.238226666666671,100,100000
st01,mazes,synapse_depthsd1,2.0,0.8623978666666667,0.8620182666666666,0.87307,5.959786666666678,100,100000
